Scientific name	Common name	Group	Wt in kg	Axial (mm)	Reference for axial length	Reference for weight	Quality
Alytes obstetricans	Midwife toad	Amphibians	0.0100	4.000	Rochon-DuVigneaud (1943)	Note 10	Group 5
Bombinator pachypus	Yellow-bellied toad	Amphibians	0.0100	3.000	Rochon-DuVigneaud (1943)	Bellairs (1970), Note 3	Group 5
Bufo americanus	American toad	Amphibians	0.0113	1.480	Mathis (1988)	Note 1	Group 5
Bufo americanus	American toad	Amphibians	0.0164	6.083	Mathis (1988)	Note 1	Group 5
Bufo americanus	American toad	Amphibians	0.0104	0.982	Mathis (1988)	Note 1	Group 5
Rana catesbeiana	N. American bull frog	Amphibians	0.5199	11.459	Note 30	Altman (1962)	Group 6
Rana temporaria	Common frog	Amphibians	0.5930	5.300	Note 30	Altman (1962)	Group 6
Accipiter nisus	Sparrow hawk	Birds	1.5600	13.500	Lord Jr. (1956)	Note 29	Group 5
Alle alle	Dovekie	Birds	0.1030	10.488	Note 30	Altman (1962)	Group 6
Amazilia tzacatl	Rufous-tailed hummingbird	Birds	0.0048	4.132	Note 30	Altman (1962)	Group 6
Anas acuta	Pintail	Birds	0.6700	9.986	Note 30	Altman (1962)	Group 6
Anas carolinensis	Green-winged teal	Birds	0.3050	8.792	Note 30	Altman (1962)	Group 6
Apteryx australis	Brown kiwi	Birds	2.2000	8.000	Sivak (1987b)	Perrins (1985)	Group 3
Apus apus	Common swift	Birds	0.0197	8.900	Rochon-DuVigneaud (1943)	Note 20	Group 5
Aquila chrysaetos	Golden eagle	Birds	4.3451	32.024	Hughes (1977)	Hughes (1977)	Group 3
Aquila rapax	Tawny eagle	Birds	2.5315	26.510	Note 30	Altman (1962)	Group 6
Athene noctua	Little owl	Birds	2.7800	12.500	Rochon-DuVigneaud (1943)	Note 24	Group 5
Balearica pavonina	Black crowned crane	Birds	4.4480	18.928	Note 30	Altman (1962)	Group 6
Bubo bubo	Eurasian eagle owl	Birds	1.8268	34.970	Hughes (1977)	Hughes (1977)	Group 3
Bubo virginianus	Great horned owl	Birds	3.5800	38.000	Murphy (1985)	Note 23	Group 5
Bucorvus cafer	Southern ground hornbill	Birds	3.2500	27.458	Note 30	Altman (1962)	Group 6
Buteo buteo	Buzzard	Birds	2.5500	23.000	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Buteo jamaicensis	Red-tail hawk	Birds	2.5500	26.000	Miller, Note 16	Perrins (1985)	Group 2
Cacatua galerita	Sulfur crested cockatoo	Birds	0.3115	13.260	Murphy, Note 14	Murphy, Note 14	Group 1
Cardinalis sinuatus	Pyrrhuloxia	Birds	0.0300	5.010	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Cathartes aura	Turkey vulture	Birds	10.4700	19.000	Note 30	Note 28	Group 7
Catharus guttatus	Hermit thrush	Birds	0.0947	9.071	Hughes (1977)	Hughes (1977)	Group 3
Choriotis kori	Bustard	Birds	7.7700	30.022	Note 30	Altman (1962)	Group 6
Ciconia ciconia	White stork	Birds	3.3500	21.664	Note 30	Altman (1962)	Group 6
Columba livia	Pigeon	Birds	0.3150	11.620	Martin (1991)	Terres (1980)	Group 3
Corvus brachyrhynchos	Crow	Birds	1.0005	15.157	Hughes (1977)	Hughes (1977)	Group 3
Corvus monedula	Jackdaw	Birds	0.7900	15.000	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Cygnus cygnus	Trumpeter swan	Birds	5.6000	13.650	Murphy, Note 14	Murphy, Note 14	Group 1
Delichon urbica	House martin	Birds	0.0325	7.200	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Dromaius novaehollandiae	Emu	Birds	13.6100	26.970	Murphy, Note 14	Murphy, Note 14	Group 1
Dromaius novaehollandiae	Emu	Birds	23.5900	30.650	Murphy, Note 14	Murphy, Note 14	Group 1
Eudyptes chrysocome	Rockhopper penguin	Birds	23.3400	22.700	Howland (1984)	Note 26	Group 5
Falco sparverius	American kestral	Birds	0.1120	12.454	Note 30	Altman (1962)	Group 6
Falco tinnunculus	Kestrel	Birds	0.2033	14.936	Hughes (1977)	Hughes (1977)	Group 3
Fregata aquila	Ascension frigatebird	Birds	1.4050	19.655	Note 30	Altman (1962)	Group 6
Callus domesticus	Chicken	Birds	0.6741	13.250	Note 30	Altman (1962)	Group 6
Gavia stellata	Red-throated loon	Birds	1.5490	14.471	Note 30	Altman (1962)	Group 6
Grus americana	Wild whooping crane	Birds	5.0000	16.510	Murphy, Note 14	Murphy, Note 14	Group 1
Grus canadensis	Sandhill crane	Birds	1.6510	18.579	Note 30	Altman (1962)	Group 6
Haliaeetus vocifer	African fish eagle	Birds	3.5000	23.523	Note 30	Altman (1962)	Group 6
